Boro-Block-Lot;CondoSection;Address;Neighborhood;BuildingClassification;TotalUnits;YearBuilt;GrossSqFt;EstimatedGrossIncome;GrossIncomePerSqFt;EstimatedExpense;ExpensePerSqFt;NetOperatingIncome;FullMarketValue;MarketValuePerSqFt
1-00898-7501;0437-R1;305 2 AVENUE;GRAMERCY;R4-CONDOMINIUM;127;1901;174042;7280177;41.83;2225997;12.79;5054180;38150999;219.21
1-00898-7502;1676-R1;233 EAST 17 STREET;GRAMERCY;R4-CONDOMINIUM;13;1948;30116;1148925;38.15;322844;10.72;826081;4785004;158.89
1-00903-7501;0127-R1;205 EAST 22 STREET;GRAMERCY;R4-CONDOMINIUM;64;1920;81685;3069722;37.58;1052103;12.88;2017619;12539999;153.52
1-00903-7502;0148-R1;381 2 AVENUE;GRAMERCY;R9-CONDOMINIUM;329;1931;321079;11260241;35.07;3156207;9.83;8104034;59950000;186.71
1-00908-7501;0503-R1;200 EAST 28 STREET;GRAMERCY;R4-CONDOMINIUM;43;1965;29535;981743;33.24;278220;9.42;703523;4543013;153.82
1-00908-7502;1953-R1;385 3 AVENUE;GRAMERCY;RR-CONDOMINIUM;49;2006;60117;2401073;39.94;835025;13.89;1566048;11837000;196.9
1-00910-7501;1320-R1;250 EAST 30 STREET;MURRAY HILL;R4-CONDOMINIUM;80;2001;79132;3433537;43.39;936923;11.84;2496614;18810001;237.7
1-00911-7501;0082-R1;242 EAST 31 STREET;MURRAY HILL;R4-CONDOMINIUM;30;1925;41297;1391296;33.69;466656;11.3;924640;6863994;166.21
1-00911-7502;0119-R1;250 EAST 31 STREET;MURRAY HILL;R4-CONDOMINIUM;25;1983;27950;1049523;37.55;360555;12.9;688968;5064000;181.18
1-00912-7502;0844-R1;200 EAST 32 STREET;MURRAY HILL;R4-CONDOMINIUM;165;1990;198838;8329324;41.89;2388044;12.01;5941280;44842997;225.53
1-00915-7501;1765-R1;225 EAST 34 STREET;MURRAY HILL;R4-CONDOMINIUM;191;2007;222784;10468620;46.99;2873914;12.9;7594706;57068992;256.16
1-00916-7501;1708-R1;649 2 AVENUE;MURRAY HILL;R9-CONDOMINIUM;44;1960;23653;847724;35.84;218081;9.22;629643;4651000;196.63
1-00917-7501;0191-R1;201 EAST 36 STREET;MURRAY HILL;R4-CONDOMINIUM;118;1963;123404;4438842;35.97;1327827;10.76;3111015;22954002;186.01
1-00920-7501;0597-R1;250 EAST 40 STREET;MURRAY HILL;R4-CONDOMINIUM;234;1988;235948;9081639;38.49;2560036;10.85;6521603;49345997;209.14
1-00924-7501;0676-R1;302 EAST 19 STREET;KIPS BAY;R4-CONDOMINIUM;9;1910;7335;262886;35.84;67629;9.22;195257;1447999;197.41
1-00927-7501;0937-R1;312 EAST 22 STREET;KIPS BAY;R4-CONDOMINIUM;15;1910;20425;707726;34.65;247960;12.14;459766;3404001;166.66
1-00928-7502;0580-R1;310 EAST 23 STREET;KIPS BAY;R9-CONDOMINIUM;98;1905;65393;2346301;35.88;452520;6.92;1893781;13976000;213.72
1-00928-7502;0580-R2;312 EAST 23 STREET;KIPS BAY;R9-CONDOMINIUM;36;1905;49157;1776042;36.13;425700;8.66;1350342;9960000;202.62
1-00928-7503;1815-R1;340 EAST 23 STREET;KIPS BAY;R4-CONDOMINIUM;207;2007;233744;11294510;48.32;2940500;12.58;8354010;62671008;268.12
1-00935-7501;0064-R1;350 EAST 30 STREET;KIPS BAY;R4-CONDOMINIUM;128;1956;125776;4216012;33.52;1255244;9.98;2960768;21986993;174.81
1-00936-7501;0040-R1;333 EAST 30 STREET;KIPS BAY;R4-CONDOMINIUM;1121;1962;1171064;40158762;34.29;13981299;11.94;26177463;149834719;127.95
1-00940-7501;1345-R1;333 EAST 34 STREET;KIPS BAY;R4-CONDOMINIUM;205;1961;194733;6527450;33.52;1943435;9.98;4584015;34041006;174.81
1-00943-7501;0528-R1;330 EAST 38 STREET;KIPS BAY;R4-CONDOMINIUM;818;1986;842317;36623943;43.48;12617909;14.98;24006034;150700011;178.91
1-00944-7501;0137-R1;311 EAST 38 STREET;KIPS BAY;R4-CONDOMINIUM;118;1984;119395;4595514;38.49;1295436;10.85;3300078;24970015;209.14
1-00945-7501;0790-R1;300 EAST 40 STREET;KIPS BAY;R9-CONDOMINIUM;586;1967;605018;22470369;37.14;8191944;13.54;14278425;105058000;173.64
1-00968-7501;0195-R1;630 1 AVENUE;KIPS BAY;R4-CONDOMINIUM;485;1984;508026;18207652;35.84;4694160;9.24;13513492;99811929;196.47
1-00969-7501;0570-R1;415 EAST 37 STREET;KIPS BAY;R4-CONDOMINIUM;411;1989;510770;20119230;39.39;6415271;12.56;13703959;103622004;202.87
1-01003-7501;0347-R1;150 WEST 51 STREET;MIDTOWN WEST;R4-CONDOMINIUM;445;1927;328716;15702763;47.77;4615173;14.04;11087590;83270992;253.32
1-01006-7501;0130-R1;825 7 AVENUE;MIDTOWN WEST;R4-CONDOMINIUM;212;1968;223307;8851889;39.64;2465309;11.04;6386580;48284003;216.22
1-01008-7501;0084-R1;108 WEST 56 STREET;MIDTOWN WEST;R4-CONDOMINIUM;50;1982;96492;3438010;35.63;984218;10.2;2453792;18132014;187.91
1-01008-7502;0534-R1;162 WEST 56 STREET;MIDTOWN WEST;R4-CONDOMINIUM;65;1926;74422;2665052;35.81;797060;10.71;1867992;13797999;185.4
1-01008-7503;0540-R1;150 WEST 56 STREET;MIDTOWN WEST;R4-CONDOMINIUM;340;1987;494266;21100216;42.69;6277178;12.7;14823038;111813001;226.22
1-01009-7501;0364-R1;146 WEST 57 STREET;MIDTOWN WEST;R4-CONDOMINIUM;247;1986;399221;16088606;40.3;5860564;14.68;10228042;77286005;193.59
1-01010-7501;0165-R1;140 WEST 58 STREET;MIDTOWN WEST;R9-CONDOMINIUM;38;1916;43765;1531708;35;488620;11.16;1043088;7721000;176.42
1-01010-7502;0513-R1;120 WEST 58 STREET;MIDTOWN WEST;R4-CONDOMINIUM;33;1923;32796;1248216;38.06;290245;8.85;957971;6870000;209.48
1-01010-7504;1153-R1;171 WEST 57 STREET;MIDTOWN WEST;R4-CONDOMINIUM;35;1922;88288;3167773;35.88;1063870;12.05;2103903;15526997;175.87
1-01010-7505;1524-R1;100 WEST 58 STREET;MIDTOWN WEST;R4-CONDOMINIUM;103;1926;121921;4852456;39.8;1515478;12.43;3336978;23760039;194.88
1-01011-7501;0011-R1;160 CENTRAL PARK SOUTH;MIDTOWN WEST;R4-CONDOMINIUM;183;1930;187345;8857672;47.28;2718376;14.51;6139296;46124996;246.2
1-01011-7502;0496-R1;106 CENTRAL PARK SOUTH;MIDTOWN WEST;R4-CONDOMINIUM;420;1930;340000;14314000;42.1;3804600;11.19;10509400;73480085;216.12
1-01011-7503;0696-R1;116 CENTRAL PARK SOUTH;MIDTOWN WEST;R4-CONDOMINIUM;79;1950;78236;2941674;37.6;1006115;12.86;1935559;14225999;181.83
1-01011-7504;0767-R1;135 WEST 58 STREET;MIDTOWN WEST;R9-CONDOMINIUM;34;1912;35328;1128376;31.94;374830;10.61;753546;5618000;159.02
1-01011-7505;1018-R1;1431 6 AVENUE;MIDTOWN WEST;R4-CONDOMINIUM;80;1918;87821;3302070;37.6;1129378;12.86;2172692;15969000;181.84
1-01018-7502;1875-R1;247 WEST 46 STREET;MIDTOWN WEST;R4-CONDOMINIUM;218;2006;293691;12390823;42.19;3882595;13.22;8508228;64203002;218.61
1-01020-7502;1519-R1;1600 BROADWAY;MIDTOWN WEST;R4-CONDOMINIUM;137;2005;165323;7641229;46.22;2264925;13.7;5376304;40422990;244.51
1-01025-7501;0606-R1;828 7 AVENUE;MIDTOWN WEST;R9-CONDOMINIUM;129;1916;128513;4148400;32.28;1222159;9.51;2926241;21786000;169.52
1-01025-7502;1903-R1;890 8 AVENUE;MIDTOWN WEST;RR-CONDOMINIUM;90;2003;73690;3532000;47.93;662000;8.98;2870000;20241000;274.68
1-01025-7502;1903-R2;890 8 AVENUE;MIDTOWN WEST;RR-CONDOMINIUM;304;2003;268626;12708696;47.31;3322904;12.37;9385792;66195000;246.42
1-01027-7504;1278-R1;230 WEST 56 STREET;MIDTOWN WEST;R4-CONDOMINIUM;108;2002;210177;9943474;47.31;2599889;12.37;7343585;55094999;262.14
1-01028-7501;0416-R1;235 WEST 56 STREET;MIDTOWN WEST;RR-CONDOMINIUM;484;1987;538783;21314000;39.56;8111000;15.05;13203000;93512000;173.56
1-01032-7501;1531-R1;350 WEST 42 STREET;MIDTOWN WEST;R4-CONDOMINIUM;528;2004;604403;26750877;44.26;6618213;10.95;20132664;151578964;250.79
1-01038-7501;2011-R1;306 WEST 48 STREET;MIDTOWN WEST;R4-CONDOMINIUM;122;2007;125813;5815077;46.22;1723638;13.7;4091439;30763001;244.51
1-01040-7501;0633-R1;350 WEST 50 STREET;MIDTOWN WEST;R4-CONDOMINIUM;704;1989;551052;23882594;43.34;7125102;12.93;16757492;126251989;229.11
1-01042-7502;1626-R1;310 WEST 52 STREET;MIDTOWN WEST;R4-CONDOMINIUM;215;2005;249339;11524449;46.22;3415944;13.7;8108505;60965998;244.51
1-01043-7501;0288-R1;87177 8 AVENUE;MIDTOWN WEST;R4-CONDOMINIUM;65;1942;54785;1710936;31.23;402670;7.35;1308266;9768001;178.3
1-01043-7502;0280-R1;879 8 AVENUE;MIDTOWN WEST;R4-CONDOMINIUM;65;1947;54655;1706876;31.23;401714;7.35;1305162;9745001;178.3
1-01043-7503;1461-R1;350 WEST 53 STREET;MIDTOWN WEST;R4-CONDOMINIUM;66;2005;56935;2412905;42.38;675818;11.87;1737087;13105995;230.19
1-01047-7501;0115-R1;340 WEST 57 STREET;MIDTOWN WEST;R4-CONDOMINIUM;576;1931;609127;24791469;40.7;7461806;12.25;17329663;130907993;214.91
1-01047-7503;1750-R1;322 WEST 57 STREET;MIDTOWN WEST;R4-CONDOMINIUM;595;1978;706825;32775475;46.37;7902304;11.18;24873171;186988005;264.55
1-01048-7501;0058-R1;347 WEST 57 STREET;MIDTOWN WEST;R4-CONDOMINIUM;261;1982;263995;10638999;40.3;3875447;14.68;6763552;51106994;193.59
1-01048-7503;0538-R1;301 WEST 57 STREET;MIDTOWN WEST;R4-CONDOMINIUM;296;1987;314941;14197540;45.08;3376168;10.72;10821372;81431008;258.56
1-01048-7503;0538-R2;301 WEST 57 STREET;MIDTOWN WEST;R4-CONDOMINIUM;20;1987;15764;662088;42;189010;11.99;473078;3569999;226.47
1-01048-7504;0800-R1;333 WEST 57 STREET;MIDTOWN WEST;R9-CONDOMINIUM;188;1940;158478;6383494;40.28;1709978;10.79;4673516;35314000;222.83
1-01049-7501;1311-R1;1 CENTRAL PARK;MIDTOWN WEST;R4-CONDOMINIUM;165;1955;377444;15811129;41.89;4287764;11.36;11523365;86975006;230.43
1-01049-7501;1311-R2;80 COLUMBUS CIRCLE;MIDTOWN WEST;R4-CONDOMINIUM;65;1955;217897;10302170;47.28;2436088;11.18;7866082;58806997;269.88
1-01051-7501;2008-R1;420 WEST 42 STREET;CLINTON;RR-CONDOMINIUM;262;2000;245000;9868600;40.28;2643550;10.79;7225050;54595000;222.84
1-01053-7503;1775-R1;464 WEST 44 STREET;CLINTON;R4-CONDOMINIUM;58;2007;54027;2405282;44.52;620770;11.49;1784512;13434003;248.65
1-01054-7502;1706-R1;406 WEST 45 STREET;CLINTON;R4-CONDOMINIUM;21;1920;26041;967684;37.16;282024;10.83;685660;4675009;179.52
1-01055-7501;0474-R1;447 WEST 45 STREET;CLINTON;R4-CONDOMINIUM;34;1986;28692;924743;32.23;300118;10.46;624625;4650999;162.1
1-01056-7501;0354-R1;446 WEST 47 STREET;CLINTON;R4-CONDOMINIUM;28;1920;20655;703716;34.07;227412;11.01;476304;3530998;170.95
1-01058-7501;0660-R1;715 9 AVENUE;CLINTON;R9-CONDOMINIUM;16;1901;7812;262561;33.61;105306;13.48;157255;1168000;149.51
