Boro-Block-Lot;Address;Neighborhood;BuildingClassification;TotalUnits;YearBuilt;AreaSqFt;GrossIncomePerSqFt;ExpensePerSqFt;NetOperatingIncomePerSqFt;FullMarketValue;MarketValuePerSqFt
1-00171-7502;354 BROADWAY;CHINATOWN;R4-CONDOMINIUM;12;1900;3433.666667;31.97;10.15;-507.584328;6701998;162.65
1-00172-7501;374 BROADWAY;CHINATOWN;R4-CONDOMINIUM;163;1990;776.0736196;29.94;11.12;-2385.077778;17836002;141
1-00172-7502;81 WHITE STREET;CHINATOWN;R4-CONDOMINIUM;11;1915;2590.909091;28.86;8.15;-756.1502283;4431999;155.51
1-00172-7504;50 FRANKLIN STREET;CHINATOWN;R4-CONDOMINIUM;72;2007;1269.611111;45.01;14.85;-1628.244302;20745996;226.95
1-00173-7501;66 LEONARD STREET;CIVIC CENTER;R4-CONDOMINIUM;47;1900;2817.510638;33.47;8.04;-772.084969;24419996;184.41
1-00173-7502;65 WORTH STREET;CIVIC CENTER;R4-CONDOMINIUM;30;1920;2989.266667;26.99;5.42;-763.8924273;13964998;155.72
1-00173-7503;79 WORTH STREET;CIVIC CENTER;R4-CONDOMINIUM;29;1920;1941.103448;31.97;10.15;-1232.082056;9156999;162.67
1-00175-7503;55 WHITE STREET;CIVIC CENTER;R4-CONDOMINIUM;17;1860;1937.588235;26.49;10;-1290.118942;3928999;119.28
1-00175-7504;90 FRANKLIN STREET;CIVIC CENTER;R4-CONDOMINIUM;24;1915;4120.458333;34.97;8.74;-632.9004273;19190999;194.06
1-00178-7502;211 WEST BROADWAY;CIVIC CENTER;R2-CONDOMINIUM;11;1915;2271.363636;24.8;10;-1195.740018;2686999;107.54
1-00179-7503;155 FRANKLIN STREET;TRIBECA;R4-CONDOMINIUM;10;1982;3363.3;31.18;11.45;-839.6756021;4960000;147.47
1-00179-7506;14 LEONARD STREET;TRIBECA;R4-CONDOMINIUM;31;1915;2858.548387;26.49;9.9;-1025.765918;10634000;120
